Name,Weight,Value,PrimaryEffect,SecondaryEffect,TertiaryEffect,QuaternaryEffect
Alkanet Flower,0.1,1,Restore Intelligence,Resist Poison,Light,Damage Fatigue
Aloe Vera Leaves,0.1,1,Restore Fatigue,Restore Health,Damage Magicka,Invisibility
Ambrosia,0.1,2,Restore Health,,,
Apple,0.2,1,Restore Fatigue,Damage Luck,Fortify Willpower,Damage Health
Arrowroot,0.1,2,Restore Agility,Damage Luck,Fortify Strength,Burden
Beef,1,1,Restore Fatigue,Shield,Fortify Agility,Dispel
Bergamot Seeds,0.1,1,Resist Disease,Dispel,Damage Magicka,Silence
Blackberry,0.1,1,Restore Fatigue,Resist Shock,Fortify Endurance,Restore Magicka
Bloodgrass,0.1,1,Chameleon,Resist Paralysis,Burden,Fortify Health
Boar Meat,2,20,Restore Health,Damage Speed,Fortify Health,Burden
Bog Beacon Asco Cap,0.1,1,Resist Disease,Dispel,Damage Magicka,Damage Endurance
Bonemeal,0.2,5,Damage Fatigue,Resist Fire,Fortify Luck,NightEye
Bread Loaf,0.5,1,Restore Fatigue,Detect Life,Damage Agility,Damage Strength
Cairn Bolete Cap,0.1,1,Restore Health,Damage Intelligence,Resist Paralysis,Shock Damage
Carrot,0.2,1,Restore Fatigue,NightEye,Fortify Intelligence,Damage Endurance
Cheese Wedge,0.2,1,Restore Fatigue,Resist Fire,Fire Shield,Damage Agility
Cheese Wheel,3,1,Restore Fatigue,Resist Paralysis,Damage Luck,Fortify Willpower
Cinnabar Polypore Red Cap,0.1,3,Restore Agility,Shield,Damage Personality,Damage Endurance
Cinnabar Polypore Yellow Cap,0.1,3,Restore Endurance,Fortify Endurance,Damage Personality,Reflect Spell
Clannfear Claws,2,50,Cure Disease,Resist Disease,Paralyze,Damage Health
Clouded Funnel Cap,0.1,1,Restore Intelligence,Fortify Intelligence,Damage Endurance,Damage Magicka
Columbine Root Pulp,0.1,1,Restore Personality,Resist Frost,Fortify Magicka,Chameleon
Corn,0.2,1,Restore Fatigue,Restore Intelligence,Damage Agility,Lightning Shield
Crab Meat,1,1,Restore Endurance,Resist Shock,Damage Fatigue,Fire Shield
Daedra Heart,2,25,Restore Health,Shock Shield,Damage Magicka,Silence
Daedra Silk,0.5,75,Burden,NightEye,Chameleon,Damage Endurance
Daedra Venin,0.2,75,Paralyze,Restore Fatigue,Damage Health,Reflect Damage
Daedroth Teeth,0.5,65,NightEye,Frost Shield,Burden,Light
Dragon's Tongue,0.1,5,Resist Fire,Damage Health,Restore Health,Fire Shield
Dreugh Wax,1,70,Damage Fatigue,Resist Poison,Water Breathing,Damage Health
Dryad Saddle Polypore Cap,0.1,10,Restore Luck,Resist Frost,Damage Speed,Frost Damage
Ectoplasm,0.2,20,Shock Damage,Dispel,Fortify Magicka,Damage Health
Elf Cup Cap,0.1,5,Damage Willpower,Cure Disease,Fortify Strength,Damage Intelligence
Emetic Russula Cap,0.1,4,Restore Agility,Shield,Damage Personality,Damage Endurance
Fennel Seeds,0.1,5,Restore Fatigue,Damage Intelligence,Damage Magicka,Paralyze
Fire Salts,0.1,30,Fire Damage,Resist Frost,Restore Magicka,Fire Shield
Flax Seeds,0.1,1,Restore Magicka,Feather,Shield,Damage Health
Flour,0.2,1,Restore Fatigue,Damage Personality,Fortify Fatigue,Reflect Damage
Fly Amanita Cap,0.1,1,Restore Agility,Burden,Restore Health,Lightning Damage
Foxglove Nectar,0.1,1,Resist Poison,Resist Paralysis,Restore Luck,Resist Disease
Frost Salts,0.1,60,Frost Damage,Resist Fire,Silence,Frost Shield
Garlic,0,1,Resist Disease,Damage Agility,Frost Shield,Fortify Strength
Ginkgo Leaf,0.1,1,Restore Speed,Fortify Magicka,Damage Luck,Shock Damage
Ginseng,0.1,2,Damage Luck,Cure Poison,Burden,Fortify Magicka
Glow Dust,0.1,40,Restore Speed,Light,Reflect Spell,Damage Health
Grapes,0.1,2,Restore Fatigue,Water Walking,Dispel,Damage Health
Green Stain Cup Cap,0.1,1,Restore Fatigue,Damage Speed,Reflect Damage,Damage Health
Green Stain Shelf Cap,0.1,10,Restore Luck,Fortify Luck,Damage Fatigue,Restore Health
Ham ,1,1,Restore Health,Damage Magicka,Damage Luck,
Harrada,0.1,2,Damage Health,Damage Magicka,Silence,Paralyze
Imp Gall,0.2,15,Fortify Personality,Cure Paralysis,Damage Health,Fire Damage
Ironwood Nut,0.1,1,Restore Intelligence,Resist Fire,Damage Fatigue,Fortify Health
Jumbo Potato,0,1,Restore Fatigue,Shield,Burden,Frost Shield
Lady's Mantle Leaves,0.1,5,Restore Health,Damage Endurance,NightEye,Feather
Lady's Smock Leaves,0.1,1,Restore Intelligence,Resist Fire,Damage Fatigue,Fortify Health
Lavender Sprig,0.1,1,Restore Personality,Fortify Willpower,Restore Health,Damage Luck
Leek,0.1,3,Restore Fatigue,Fortify Agility,Damage Personality,Damage Strength
Lettuce,0.5,1,Restore Fatigue,Restore Luck,Fire Shield,Damage Personality
Lichor,0.1,3,Restore Magicka,,,
Mandrake Root,0.1,1,Cure Disease,Resist Poison,Damage Agility,Fortify Willpower
Milk Thistle Seeds,0.1,1,Light,Frost Damage,Cure Paralysis,Paralyze
Minotaur Horn,5,55,Restore Willpower,Burden,Fortify Endurance,Resist Paralysis
Monkshood Root Pulp,0.1,1,Restore Strength,Damage Intelligence,Fortify Endurance,Burden
